kingdom,year,n
Plantae,2006,352113
Plantae,2002,130000
Plantae,1998,145303
Plantae,1926,63080
Plantae,1991,121238
Plantae,1891,49887
Plantae,2001,140130
Plantae,2019,1614305
Bacteria,2014,843744
incertae sedis,2014,28615
Chromista,2014,62570
Plantae,2020,2341262
Plantae,2016,552192
Plantae,2017,600707
Plantae,2018,938718
Plantae,2015,775231
Animalia,2018,70031742
Animalia,2021,111240890
Plantae,2021,2392233
Animalia,2014,38290728
Animalia,2008,10512187
Animalia,2017,58297178
Animalia,2019,78449038
Plantae,2009,174845
Fungi,2021,189517
Animalia,2022,3095591
Fungi,2022,119166
Animalia,2012,25754515
Plantae,2022,2007287
Animalia,2010,15361788
Animalia,2006,7602942
Plantae,2012,143123
Plantae,2013,218623
Animalia,2007,8892185
Animalia,2015,43546977
Chromista,2012,54399
Animalia,2016,50784104
Plantae,2014,209240
Animalia,2011,18762681
Animalia,1998,2863151
Fungi,2016,69923
Animalia,2001,3843171
Fungi,2019,132397
Animalia,2020,101482838
Protozoa,2021,4274
Plantae,2011,184850
Animalia,2013,31088378
Fungi,2017,87317
Fungi,2013,57466
Fungi,2018,113462
Animalia,2009,12873892
Fungi,2020,160650
Animalia,2004,5307569
Plantae,2008,182075
Protozoa,2017,1564
Chromista,2019,29653
Protozoa,2019,3201
Fungi,2001,18508
Animalia,1995,2270258
Plantae,2010,239049
Animalia,2003,4730976
Fungi,2008,47615
Fungi,2012,50606
Animalia,1985,1053673
Chromista,2021,14328
Fungi,2014,60313
Plantae,2007,172874
Fungi,2011,48210
Animalia,1987,1126410
Protozoa,2022,3631
Fungi,2015,60376
Chromista,2022,5917
Chromista,1997,5799
Chromista,2018,32377
Plantae,2004,153542
Plantae,2005,561917
Animalia,1990,1300190
Animalia,1982,1095332
Protozoa,2018,2429
Plantae,2003,162970
Animalia,1981,1044768
Protozoa,2020,3107
Plantae,1996,115806
Chromista,2015,71181
Bacteria,2015,718186
Chromista,2017,27471
Animalia,2005,5742878
Fungi,2004,21439
Chromista,2020,16884
Bacteria,2019,32960
Viruses,2022,967
Plantae,1983,136633
Animalia,2002,4212460
Plantae,1994,136159
Animalia,1979,1000960
Animalia,1994,2007095
Animalia,1997,2535486
Protozoa,2016,2885
Fungi,2009,53702
Plantae,1977,142525
Plantae,1985,113244
Animalia,1991,1476580
Fungi,2006,18170
Bacteria,2020,16650
Chromista,2016,38661
Animalia,1970,811191
Animalia,1999,3424097
Animalia,2000,3891910
Animalia,1996,2319675
Animalia,1986,1062117
Animalia,1993,1782727
Viruses,2019,6919
Protozoa,2014,6150
Fungi,2010,78096
Plantae,1999,120667
Plantae,NA,2859011
Plantae,1988,120269
Plantae,1964,119502
Plantae,1938,149238
Plantae,1982,142641
Plantae,2000,141707
Plantae,1975,156131
Plantae,1970,136322
Plantae,1980,169030
Plantae,1951,99798
Plantae,1986,124179
Plantae,1990,115517
Plantae,1984,120707
Plantae,1948,100349
Plantae,1972,129779
Plantae,1978,164205
Plantae,1976,139529
Plantae,1971,124265
Plantae,1992,144143
Plantae,1937,148106
Plantae,1936,129577
Plantae,1979,190583
Plantae,1993,145195
Plantae,1973,163457
Plantae,1997,132553
incertae sedis,1980,3070
incertae sedis,1982,3509
Plantae,1969,152315
Plantae,1995,608988
Plantae,1966,177177
Plantae,1965,149499
incertae sedis,1986,3445
Plantae,1974,137021
Plantae,1987,115305
incertae sedis,1961,3492
Plantae,1961,113139
Plantae,1968,158027
incertae sedis,1972,5365
Plantae,1962,124533
Plantae,1933,108120
Plantae,1939,132685
Plantae,1981,150484
Plantae,1952,106686
Plantae,1934,116512
Plantae,1953,95854
incertae sedis,1995,13800
incertae sedis,2007,18511
Plantae,1967,178959
Plantae,1989,103656
Plantae,1963,122249
Plantae,1940,142778
incertae sedis,1973,4119
Plantae,1950,108944
incertae sedis,2002,10826
incertae sedis,1994,15740
incertae sedis,1966,3218
incertae sedis,NA,279388
incertae sedis,1967,3352
incertae sedis,2003,17494
Plantae,1875,13822
Plantae,1935,142310
Plantae,1925,54811
Plantae,1932,112406
Plantae,1959,100303
incertae sedis,2000,17765
incertae sedis,1933,1122
Plantae,1954,86485
Plantae,1957,111614
Plantae,1849,5379
incertae sedis,2006,15402
Plantae,1955,98847
incertae sedis,1984,2367
Plantae,1924,51047
incertae sedis,1936,3797
Plantae,1956,109512
Plantae,1931,112179
Plantae,1928,73925
incertae sedis,1997,9378
